,input,channel,target,mse
0,A,B,B,1.3416653928288724e-05
1,A,C,C,1.1968048966082279e-05
2,A,D,D,7.98957989900373e-06
3,B,A,A,7.308885415113764e-06
4,B,C,C,3.2734456908656284e-05
5,B,D,D,2.9552460546256043e-05
6,C,A,A,9.50141838984564e-06
7,C,B,B,3.591334098018706e-05
8,C,D,D,2.3390808564727195e-05
9,D,A,A,1.7932306946022436e-06
10,D,B,B,4.330458978074603e-05
11,D,C,C,1.8789191017276607e-05
12,BC,A,A,4.896676273347111e-06
13,BC,D,D,5.090660852147266e-05
14,BD,A,A,2.038895217992831e-06
15,BD,C,C,5.7822649978334084e-05
16,CD,A,A,3.188053142366698e-06
17,CD,B,B,9.718224464450032e-05
18,BCD,A,A,4.381941835163161e-06
